arm,seed,trait,founderMean,finalMean,delta,finalPatches,finalPopulation,realizedGrazingPressure,highestPlantGeneration
moistureGradient,42,Growth,0.5570333451032639,0.5455584746340046,-0.011474870469259213,23,48,0.004446506965905428,16
moistureGradient,42,SeedInvestment,0.5005681018034617,0.5465830823649531,0.04601498056149145,23,48,0.004446506965905428,16
moistureGradient,42,WaterEfficiency,0.49678273995717365,0.4807498234769572,-0.01603291648021643,23,48,0.004446506965905428,16
moistureGradient,42,Nutrition,0.6355019311110178,0.763253408929576,0.12775147781855822,23,48,0.004446506965905428,16
moistureGradient,42,Defense,0.30352890739838284,0.39800551663274353,0.09447660923436069,23,48,0.004446506965905428,16
moistureGradient,42,Dispersal,0.5229418526093165,0.5366306849147963,0.013688832305479792,23,48,0.004446506965905428,16
moistureGradient,42,MoistureTolerance,0.4749338279167811,0.478092170279959,0.0031583423631778573,23,48,0.004446506965905428,16
moistureGradient,42,TemperatureTolerance,0.5168272505203882,0.5706487868143164,0.05382153629392816,23,48,0.004446506965905428,16
moistureGradient,43,Growth,0.5969943205515543,0.6360024077196916,0.039008087168137306,24,48,0.005055159796029329,17
moistureGradient,43,SeedInvestment,0.4950466851393382,0.5969811553756396,0.10193447023630137,24,48,0.005055159796029329,17
moistureGradient,43,WaterEfficiency,0.4870646595954895,0.5283980978031954,0.04133343820770585,24,48,0.005055159796029329,17
moistureGradient,43,Nutrition,0.6786990165710449,0.5802067704498768,-0.09849224612116814,24,48,0.005055159796029329,17
moistureGradient,43,Defense,0.2915790726741155,0.36516879747311276,0.07358972479899728,24,48,0.005055159796029329,17
moistureGradient,43,Dispersal,0.5268554836511612,0.6847784246007601,0.1579229409495989,24,48,0.005055159796029329,17
moistureGradient,43,MoistureTolerance,0.5263191709915797,0.5641279915968577,0.037808820605278015,24,48,0.005055159796029329,17
moistureGradient,43,TemperatureTolerance,0.5595999906460444,0.6357893248399099,0.07618933419386553,24,48,0.005055159796029329,17
moistureGradient,44,Growth,0.5812276701132456,0.579710370550553,-0.0015172995626926422,24,48,0.0046051908284425735,14
moistureGradient,44,SeedInvestment,0.4530797104040782,0.36578697587052983,-0.08729273453354836,24,48,0.0046051908284425735,14
moistureGradient,44,WaterEfficiency,0.5389360785484314,0.5065446930627028,-0.03239138548572862,24,48,0.0046051908284425735,14
moistureGradient,44,Nutrition,0.6356813708941141,0.7189621105790138,0.08328073968489969,24,48,0.0046051908284425735,14
moistureGradient,44,Defense,0.23275823146104813,0.24659159996857247,0.01383336850752434,24,48,0.0046051908284425735,14
moistureGradient,44,Dispersal,0.48169970512390137,0.5911978458364805,0.10949814071257913,24,48,0.0046051908284425735,14
moistureGradient,44,MoistureTolerance,0.5566930572191874,0.5597028906146685,0.0030098333954811096,24,48,0.0046051908284425735,14
moistureGradient,44,TemperatureTolerance,0.4948481023311615,0.4009461949268977,-0.0939019074042638,24,48,0.0046051908284425735,14
moistureGradient,45,Growth,0.5260177503029505,0.5477316596291282,0.02171390932617767,22,48,0.004702580627053976,18
moistureGradient,45,SeedInvestment,0.47247815628846485,0.4805679416114634,0.008089785322998533,22,48,0.004702580627053976,18
moistureGradient,45,WaterEfficiency,0.5486572831869125,0.6502784192562103,0.10162113606929779,22,48,0.004702580627053976,18
moistureGradient,45,Nutrition,0.5801724294821421,0.6384249505671588,0.05825252108501666,22,48,0.004702580627053976,18
moistureGradient,45,Defense,0.3466835965712865,0.20964853736487302,-0.13703505920641348,22,48,0.004702580627053976,18
moistureGradient,45,Dispersal,0.5426582247018814,0.6898852288722992,0.14722700417041779,22,48,0.004702580627053976,18
moistureGradient,45,MoistureTolerance,0.577509472767512,0.5508692494847558,-0.02664022328275617,22,48,0.004702580627053976,18
moistureGradient,45,TemperatureTolerance,0.4427036295334498,0.3264260298826478,-0.11627759965080203,22,48,0.004702580627053976,18
moistureGradient,46,Growth,0.542088066538175,0.6366049025369727,0.09451683599879768,23,48,0.004751646425575018,17
moistureGradient,46,SeedInvestment,0.5062960982322693,0.4998061436673869,-0.006489954564882383,23,48,0.004751646425575018,17
moistureGradient,46,WaterEfficiency,0.48654507100582123,0.522237716809563,0.03569264580374176,23,48,0.004751646425575018,17
moistureGradient,46,Nutrition,0.6077622175216675,0.5799480871013973,-0.027814130420270144,23,48,0.004751646425575018,17
moistureGradient,46,Defense,0.290176160633564,0.3814443272093068,0.09126816657574283,23,48,0.004751646425575018,17
